Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje;;;;;;;;;;;;
registrirane brezposelnosti po: SPOL, KOHEZIJSKA / STATISTIÈNA REGIJA,;;;;;;;;;;;;
MERITVE , LETO;;;;;;;;;;;;
;;;;;;;;;;;;
 ; ;3 Registrirane brezposelne osebe; ; ; ; ; ; ; ; ; ; 
 ; ;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
 ;Vzhodna Slovenija;56714;47274;42116;55793;63290;67301;65901;70307;69974;66853;61325
 ;Pomurska;8609;7414;6733;8709;10179;9665;8790;8842;9094;9233;8300
 ;Podravska;17965;15004;13412;17477;19467;20830;19668;20375;20061;18828;17149
 ;Koroška;3348;2680;2421;3609;4245;4303;3889;4368;4050;3517;3219
 ;Savinjska;13912;11452;9907;12715;14332;15358;15232;16499;16583;15361;14479
 ;Zasavska;2425;1969;1682;2216;2339;2586;2825;3173;3374;3956;3585
 ;Posavska;3250;2832;2514;3347;3982;4367;4493;4750;4695;4658;4382
 ;Jugovzhodna Slovenija;5541;4597;4223;5952;6653;7735;8470;9328;9224;8613;7754
 ;Primorsko-notranjska;1664;1326;1224;1768;2094;2457;2534;2973;2893;2686;2457
 ;Zahodna Slovenija;29069;24034;21062;30351;36760;42318;43030;48472;49227;45147;41291
 ;Osrednjeslovenska;16647;13976;12153;16680;20879;24255;24575;27958;28899;26664;24845
 ;Gorenjska;5673;4343;3945;6313;7322;7963;7991;8740;8549;7751;6920
 ;Goriška;3245;2613;2322;3821;4528;5228;5323;5962;5722;5206;4408
 ;Obalno-kraška;3504;3102;2642;3537;4031;4873;5142;5812;6056;5525;5119
;;;;;;;;;;;;
Vir: Statistièni urad Republike Slovenije. ;;;;;;;;;;;;
 ;;;;;;;;;;;;
Zaradi zaokroževanja na cela števila se vsote ne ujemajo vedno.;;;;;;;;;;;;
;;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;;
- (seznam HREF=http://www.stat.si/statweb/File/DocSysFile/8138 ;;;;;;;;;;;;
target=_blank) Metodološka pojasnila;;;;;;;;;;;;
